"VanillaC4_002 [C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_002.tcf]","Time (h)","V 2 [VanillaC4_002]","V 3 [VanillaC4_002]","V 4 [VanillaC4_002]","V 5 [VanillaC4_002]","V 6 [VanillaC4_002]","V 7 [VanillaC4_002]","V 8 [VanillaC4_002]","V 9 [VanillaC4_002]","V 10 [VanillaC4_002]","V 11 [VanillaC4_002]","V 12 [VanillaC4_002]","V 13 [VanillaC4_002]","V 14 [VanillaC4_002]","V 15 [VanillaC4_002]","V 16 [VanillaC4_002]","V  1 [VanillaC4_002]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          2.9536,          2.6957,          3.0868,          3.3044,          0.1441,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.8032,          1.9743,          2.2105,          2.0080,          1.7383,          2.8568
           3,        0.033333,          2.6577,          2.4047,          2.7090,          2.7001,          2.7091,          2.4844,          2.1663,          0.0579,          1.0747,          1.2242,          1.0323,          1.0583,          1.1460,          1.0344,          0.8545,          2.5397
           4,        0.050000,          2.5105,          2.2846,          2.5827,          2.6051,          2.6100,          2.3047,          2.1680,          1.7344,          1.3709,          1.2047,          0.1866,          0.5270,          0.5868,          0.5139,          0.4125,          2.4047
           5,        0.066667,          2.4383,          2.2219,          2.4980,          2.5199,          2.5350,          2.2487,          2.0225,          1.9011,          1.7081,          1.6719,          1.4933,          1.4378,          1.4998,          1.3148,          1.1359,          2.3411
           6,        0.083333,          2.3989,          2.1872,          2.4495,          2.4654,          2.4653,          2.1551,          2.0192,          2.0159,          1.8661,          1.8480,          1.6674,          1.7134,          1.9475,          2.1401,          2.2772,          2.3059
           7,        0.100000,          2.3760,          2.1668,          2.4194,          2.4209,          2.4108,          2.1317,          2.0325,          2.0612,          1.9282,          1.9752,          1.9522,          2.0478,          2.2948,          2.3137,          2.3148,          2.2854
           8,        0.116667,          2.3619,          2.1530,          2.3962,          2.3967,          2.3930,          2.1267,          2.0350,          2.0834,          2.0081,          2.0879,          2.0231,          2.0964,          2.3467,          2.3423,          2.3338,          2.2732
           9,        0.133333,          2.3517,          2.1432,          2.3846,          2.3867,          2.3848,          2.1229,          2.0404,          2.1127,          2.0401,          2.1140,          2.0375,          2.1093,          2.3626,          2.3584,          2.3561,          2.2650
          10,        0.150000,          2.3460,          2.1387,          2.3789,          2.3813,          2.3806,          2.1237,          2.0481,          2.1225,          2.0471,          2.1205,          2.0436,          2.1167,          2.3715,          2.3705,          2.3751,          2.2596
          11,        0.166667,          2.3428,          2.1361,          2.3757,          2.3791,          2.3799,          2.1253,          2.0501,          2.1245,          2.0489,          2.1229,          2.0472,          2.1215,          2.3771,          2.3791,          2.3893,          2.2566
          12,        0.183333,          2.3410,          2.1347,          2.3743,          2.3783,          2.3795,          2.1253,          2.0502,          2.1248,          2.0495,          2.1241,          2.0494,          2.1246,          2.3808,          2.3850,          2.3989,          2.2549
          13,        0.200000,          2.3400,          2.1341,          2.3737,          2.3777,          2.3788,          2.1248,          2.0497,          2.1246,          2.0494,          2.1252,          2.0505,          2.1265,          2.3833,          2.3889,          2.4054,          2.2539
          14,        0.216667,          2.3396,          2.1337,          2.3732,          2.3771,          2.3783,          2.1245,          2.0495,          2.1247,          2.0515,          2.1273,          2.0638,          2.1450,          2.3726,          2.3767,          2.3939,          2.2536
          15,        0.233333,          2.3393,          2.1335,          2.3728,          2.3768,          2.3779,          2.1242,          2.0492,          2.1244,          2.0507,          2.1271,          2.0550,          2.1323,          2.3886,          2.4098,          2.4234,          2.2532
          16,        0.250000,          2.3391,          2.1333,          2.3726,          2.3766,          2.3777,          2.1239,          2.0488,          2.1254,          2.0533,          2.1251,          2.0561,          2.1368,          2.3958,          2.3996,          2.4096,          2.2530
          17,        0.266667,          2.3390,          2.1332,          2.3725,          2.3764,          2.3776,          2.1240,          2.0493,          2.1260,          2.0600,          2.1480,          2.1306,          2.2101,          2.4210,          2.4622,          2.4633,          2.2529
          18,        0.283333,          2.3389,          2.1331,          2.3724,          2.3763,          2.3775,          2.1240,          2.0498,          2.1277,          2.0626,          2.1483,          2.0566,          2.1244,          2.3817,          2.4044,          2.4351,          2.2528
          19,        0.300000,          2.3389,          2.1331,          2.3723,          2.3763,          2.3776,          2.1242,          2.0506,          2.1302,          2.0561,          2.1278,          2.0540,          2.1354,          2.3966,          2.3983,          2.4015,          2.2528
          20,        0.316667,          2.3388,          2.1332,          2.3723,          2.3764,          2.3778,          2.1247,          2.0518,          2.1317,          2.0644,          2.1663,          2.0963,          2.1509,          2.3556,          2.3771,          2.4085,          2.2527
          21,        0.333333,          2.3388,          2.1331,          2.3724,          2.3765,          2.3780,          2.1247,          2.0502,          2.1274,          2.0626,          2.1607,          2.0876,          2.1327,          2.3665,          2.3664,          2.4042,          2.2527
          22,        0.350000,          2.3388,          2.1332,          2.3724,          2.3765,          2.3778,          2.1243,          2.0505,          2.1311,          2.0654,          2.1350,          2.0492,          2.1236,          2.3817,          2.3916,          2.3996,          2.2527
          23,        0.366667,          2.3388,          2.1331,          2.3724,          2.3764,          2.3778,          2.1246,          2.0521,          2.1294,          2.0515,          2.1254,          2.0530,          2.1292,          2.3856,          2.3907,          2.4079,          2.2528
          24,        0.383333,          2.3388,          2.1331,          2.3724,          2.3765,          2.3781,          2.1251,          2.0506,          2.1250,          2.0502,          2.1260,          2.0524,          2.1288,          2.3856,          2.3927,          2.4118,          2.2527
          25,        0.400000,          2.3388,          2.1331,          2.3725,          2.3766,          2.3780,          2.1243,          2.0493,          2.1244,          2.0500,          2.1255,          2.0526,          2.1293,          2.3862,          2.3939,          2.4138,          2.2528
          26,        0.416667,          2.3389,          2.1332,          2.3724,          2.3765,          2.3776,          2.1239,          2.0490,          2.1242,          2.0498,          2.1254,          2.0527,          2.1296,          2.3866,          2.3945,          2.4149,          2.2527
          27,        0.433333,          2.3388,          2.1332,          2.3723,          2.3763,          2.3775,          2.1238,          2.0488,          2.1240,          2.0497,          2.1254,          2.0528,          2.1298,          2.3867,          2.3948,          2.4154,          2.2527
          28,        0.450000,          2.3388,          2.1331,          2.3723,          2.3762,          2.3774,          2.1237,          2.0488,          2.1240,          2.0497,          2.1255,          2.0529,          2.1299,          2.3868,          2.3950,          2.4158,          2.2527
          29,        0.466667,          2.3388,          2.1331,          2.3722,          2.3762,          2.3773,          2.1237,          2.0488,          2.1240,          2.0497,          2.1254,          2.0529,          2.1299,          2.3868,          2.3951,          2.4159,          2.2527
          30,        0.483333,          2.3388,          2.1331,          2.3723,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3869,          2.3952,          2.4161,          2.2528
          31,        0.500000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0488,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3869,          2.3952,          2.4162,          2.2527
          32,        0.516667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3953,          2.4162,          2.2527
          33,        0.533333,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          34,        0.550000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4162,          2.2527
          35,        0.566667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1240,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          36,        0.583333,          2.3388,          2.1331,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          37,        0.600000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          38,        0.616667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          39,        0.633333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1240,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          40,        0.650000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          41,        0.666667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          42,        0.683333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          43,        0.700000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          44,        0.716667,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          45,        0.733333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          46,        0.750000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          47,        0.766667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          48,        0.783333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          49,        0.800000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          50,        0.816667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          51,        0.833333,          2.3388,          2.1331,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1240,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          52,        0.850000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          53,        0.866667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          54,        0.883333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          55,        0.900000,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          56,        0.916667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          57,        0.933333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          58,        0.950000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          59,        0.966667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          60,        0.983333,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          61,        1.000000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          62,        1.016667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3772,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          63,        1.033333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0488,          2.1239,          2.0497,          2.1254,          2.0530,          2.1301,          2.3870,          2.3953,          2.4163,          2.2527
          64,        1.050000,          2.3388,          2.1331,          2.3723,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1301,          2.3870,          2.3953,          2.4163,          2.2527
          65,        1.066667,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          66,        1.083333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          67,        1.100000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          68,        1.116667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          69,        1.133333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          70,        1.150000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          71,        1.166667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          72,        1.183333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          73,        1.200000,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1301,          2.3870,          2.3953,          2.4163,          2.2527
          74,        1.216667,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          75,        1.233333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0496,          2.1255,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          76,        1.250000,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          77,        1.266667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          78,        1.283333,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          79,        1.300000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          80,        1.316667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          81,        1.333333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          82,        1.350000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          83,        1.366667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1240,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          84,        1.383333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          85,        1.400000,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          86,        1.416667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          87,        1.433333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3772,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          88,        1.450000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          89,        1.466667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          90,        1.483333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          91,        1.500000,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          92,        1.516667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          93,        1.533333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          94,        1.550000,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          95,        1.566667,          2.3388,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527
          96,        1.583333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          97,        1.600000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          98,        1.616667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
          99,        1.633333,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         100,        1.650000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         101,        1.666667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         102,        1.683333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0496,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         103,        1.700000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         104,        1.716667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         105,        1.733333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3772,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         106,        1.750000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         107,        1.766667,          2.3388,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3869,          2.3953,          2.4163,          2.2527
         108,        1.783333,          2.3387,          2.1330,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         109,        1.800000,          2.3387,          2.1330,          2.3722,          2.3762,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         110,        1.816667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         111,        1.833333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         112,        1.850000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         113,        1.866667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0488,          2.1239,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         114,        1.883333,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         115,        1.900000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0496,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         116,        1.916667,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         117,        1.933333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1237,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         118,        1.950000,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0496,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         119,        1.966667,          2.3388,          2.1331,          2.3722,          2.3761,          2.3772,          2.1236,          2.0488,          2.1240,          2.0497,          2.1255,          2.0530,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         120,        1.983333,          2.3387,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0529,          2.1300,          2.3870,          2.3953,          2.4163,          2.2527
         121,        2.000000,          2.3388,          2.1331,          2.3722,          2.3761,          2.3773,          2.1236,          2.0487,          2.1239,          2.0497,          2.1254,          2.0530,          2.1300,          2.3870,          2.3954,          2.4163,          2.2527

