"VanillaC4_004 [C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_004.tcf]","Time (h)","Q 2 [VanillaC4_004]","Q 3 [VanillaC4_004]","Q 4 [VanillaC4_004]","Q 5 [VanillaC4_004]","Q 6 [VanillaC4_004]","Q 7 [VanillaC4_004]","Q 1 [VanillaC4_004]","Q  8 [VanillaC4_004]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,        -95.0104,        -40.9051,          0.0000,          0.0000,          0.0000,         58.6210,       -113.8932,         81.6324
           3,        0.033333,       -111.4806,        -98.3473,        -73.1704,        -25.6382,         31.3560,         38.9382,       -118.3854,         40.4008
           4,        0.050000,       -116.4847,       -110.2964,        -99.9162,        -83.7096,        -48.1416,         19.8563,       -119.7208,         19.7955
           5,        0.066667,       -118.8770,       -115.3978,       -109.3490,       -100.6195,        -90.5035,        -85.6819,       -120.6105,        -80.1686
           6,        0.083333,       -120.0013,       -118.0181,       -113.8003,       -110.0424,       -104.5975,       -104.8101,       -120.9794,       -120.1079
           7,        0.100000,       -120.5975,       -119.2820,       -117.0689,       -114.9916,       -112.5598,       -116.7976,       -121.1770,       -118.3355
           8,        0.116667,       -120.9102,       -120.1046,       -118.9085,       -117.7735,       -117.5995,       -118.0410,       -121.2912,       -117.9690
           9,        0.133333,       -121.0963,       -120.6458,       -119.9750,       -119.4661,       -119.1926,       -118.8763,       -121.3451,       -118.5852
          10,        0.150000,       -121.2380,       -120.9788,       -120.6370,       -120.4206,       -119.9952,       -119.6406,       -121.3880,       -119.3767
          11,        0.166667,       -121.3321,       -121.1902,       -121.0245,       -120.8687,       -120.5141,       -120.2379,       -121.4137,       -120.0405
          12,        0.183333,       -121.3877,       -121.3173,       -121.2173,       -121.1089,       -120.8577,       -120.6634,       -121.4328,       -120.5268
          13,        0.200000,       -121.4248,       -121.3810,       -121.3196,       -121.2486,       -121.0811,       -120.9518,       -121.4459,       -120.8631
          14,        0.216667,       -121.4399,       -121.4148,       -121.3757,       -121.3315,       -121.2225,       -121.1406,       -121.4533,       -121.0838
          15,        0.233333,       -121.4485,       -121.4343,       -121.4090,       -121.3813,       -121.3118,       -121.2603,       -121.4558,       -121.2246
          16,        0.250000,       -121.4529,       -121.4437,       -121.4290,       -121.4104,       -121.3689,       -121.3346,       -121.4578,       -121.3142
          17,        0.266667,       -121.4539,       -121.4490,       -121.4404,       -121.4284,       -121.4028,       -121.3821,       -121.4541,       -121.3692
          18,        0.283333,       -121.4571,       -121.4539,       -121.4473,       -121.4408,       -121.4239,       -121.4116,       -121.4595,       -121.4028
          19,        0.300000,       -121.4578,       -121.4557,       -121.4528,       -121.4473,       -121.4370,       -121.4291,       -121.4589,       -121.4236
          20,        0.316667,       -121.4588,       -121.4570,       -121.4551,       -121.4524,       -121.4457,       -121.4405,       -121.4599,       -121.4370
          21,        0.333333,       -121.4590,       -121.4585,       -121.4566,       -121.4557,       -121.4513,       -121.4474,       -121.4596,       -121.4457
          22,        0.350000,       -121.4608,       -121.4584,       -121.4580,       -121.4573,       -121.4546,       -121.4519,       -121.4594,       -121.4517
          23,        0.366667,       -121.4602,       -121.4588,       -121.4589,       -121.4584,       -121.4569,       -121.4553,       -121.4585,       -121.4549
          24,        0.383333,       -121.4610,       -121.4593,       -121.4599,       -121.4589,       -121.4571,       -121.4565,       -121.4586,       -121.4573
          25,        0.400000,       -121.4600,       -121.4595,       -121.4602,       -121.4591,       -121.4592,       -121.4581,       -121.4606,       -121.4572
          26,        0.416667,       -121.4599,       -121.4595,       -121.4595,       -121.4602,       -121.4591,       -121.4589,       -121.4598,       -121.4580
          27,        0.433333,       -121.4600,       -121.4590,       -121.4596,       -121.4596,       -121.4595,       -121.4592,       -121.4593,       -121.4598
          28,        0.450000,       -121.4600,       -121.4599,       -121.4604,       -121.4604,       -121.4594,       -121.4599,       -121.4596,       -121.4597
          29,        0.466667,       -121.4591,       -121.4605,       -121.4597,       -121.4603,       -121.4598,       -121.4593,       -121.4620,       -121.4599
          30,        0.483333,       -121.4593,       -121.4604,       -121.4594,       -121.4600,       -121.4597,       -121.4593,       -121.4610,       -121.4603
          31,        0.500000,       -121.4598,       -121.4591,       -121.4600,       -121.4597,       -121.4594,       -121.4602,       -121.4588,       -121.4599
          32,        0.516667,       -121.4598,       -121.4599,       -121.4599,       -121.4600,       -121.4593,       -121.4603,       -121.4616,       -121.4600
          33,        0.533333,       -121.4602,       -121.4602,       -121.4597,       -121.4598,       -121.4601,       -121.4593,       -121.4585,       -121.4595
          34,        0.550000,       -121.4599,       -121.4606,       -121.4600,       -121.4600,       -121.4599,       -121.4608,       -121.4593,       -121.4600
          35,        0.566667,       -121.4599,       -121.4601,       -121.4602,       -121.4594,       -121.4600,       -121.4602,       -121.4605,       -121.4604
          36,        0.583333,       -121.4611,       -121.4607,       -121.4595,       -121.4604,       -121.4603,       -121.4600,       -121.4596,       -121.4599
          37,        0.600000,       -121.4598,       -121.4594,       -121.4598,       -121.4604,       -121.4595,       -121.4605,       -121.4611,       -121.4602
          38,        0.616667,       -121.4598,       -121.4606,       -121.4599,       -121.4599,       -121.4608,       -121.4600,       -121.4595,       -121.4601
          39,        0.633333,       -121.4601,       -121.4600,       -121.4601,       -121.4598,       -121.4593,       -121.4601,       -121.4619,       -121.4598
          40,        0.650000,       -121.4591,       -121.4605,       -121.4601,       -121.4594,       -121.4592,       -121.4604,       -121.4610,       -121.4609
          41,        0.666667,       -121.4600,       -121.4601,       -121.4599,       -121.4604,       -121.4608,       -121.4604,       -121.4594,       -121.4600
          42,        0.683333,       -121.4605,       -121.4595,       -121.4600,       -121.4604,       -121.4605,       -121.4596,       -121.4609,       -121.4603
          43,        0.700000,       -121.4603,       -121.4604,       -121.4608,       -121.4602,       -121.4601,       -121.4599,       -121.4610,       -121.4597
          44,        0.716667,       -121.4606,       -121.4600,       -121.4605,       -121.4594,       -121.4603,       -121.4606,       -121.4603,       -121.4603
          45,        0.733333,       -121.4601,       -121.4606,       -121.4597,       -121.4601,       -121.4593,       -121.4602,       -121.4603,       -121.4598
          46,        0.750000,       -121.4611,       -121.4599,       -121.4603,       -121.4601,       -121.4596,       -121.4601,       -121.4601,       -121.4596
          47,        0.766667,       -121.4596,       -121.4601,       -121.4600,       -121.4595,       -121.4604,       -121.4598,       -121.4591,       -121.4602
          48,        0.783333,       -121.4601,       -121.4606,       -121.4595,       -121.4591,       -121.4597,       -121.4605,       -121.4608,       -121.4599
          49,        0.800000,       -121.4600,       -121.4588,       -121.4601,       -121.4600,       -121.4597,       -121.4594,       -121.4607,       -121.4600
          50,        0.816667,       -121.4586,       -121.4608,       -121.4601,       -121.4597,       -121.4596,       -121.4601,       -121.4586,       -121.4601
          51,        0.833333,       -121.4604,       -121.4599,       -121.4602,       -121.4606,       -121.4600,       -121.4599,       -121.4598,       -121.4593
          52,        0.850000,       -121.4604,       -121.4588,       -121.4597,       -121.4598,       -121.4602,       -121.4598,       -121.4608,       -121.4603
          53,        0.866667,       -121.4606,       -121.4597,       -121.4602,       -121.4603,       -121.4609,       -121.4598,       -121.4604,       -121.4600
          54,        0.883333,       -121.4606,       -121.4605,       -121.4600,       -121.4598,       -121.4598,       -121.4598,       -121.4597,       -121.4605
          55,        0.900000,       -121.4597,       -121.4592,       -121.4600,       -121.4596,       -121.4596,       -121.4594,       -121.4603,       -121.4602
          56,        0.916667,       -121.4605,       -121.4601,       -121.4594,       -121.4597,       -121.4608,       -121.4602,       -121.4598,       -121.4602
          57,        0.933333,       -121.4605,       -121.4601,       -121.4597,       -121.4600,       -121.4603,       -121.4599,       -121.4615,       -121.4599
          58,        0.950000,       -121.4604,       -121.4600,       -121.4605,       -121.4603,       -121.4594,       -121.4595,       -121.4609,       -121.4601
          59,        0.966667,       -121.4598,       -121.4597,       -121.4605,       -121.4603,       -121.4599,       -121.4594,       -121.4582,       -121.4595
          60,        0.983333,       -121.4599,       -121.4594,       -121.4600,       -121.4598,       -121.4599,       -121.4600,       -121.4593,       -121.4597
          61,        1.000000,       -121.4590,       -121.4603,       -121.4606,       -121.4594,       -121.4610,       -121.4605,       -121.4602,       -121.4605
          62,        1.016667,       -121.4596,       -121.4602,       -121.4597,       -121.4593,       -121.4607,       -121.4596,       -121.4600,       -121.4600
          63,        1.033333,       -121.4615,       -121.4608,       -121.4601,       -121.4593,       -121.4594,       -121.4602,       -121.4587,       -121.4597
          64,        1.050000,       -121.4604,       -121.4603,       -121.4593,       -121.4598,       -121.4598,       -121.4598,       -121.4612,       -121.4601
          65,        1.066667,       -121.4607,       -121.4598,       -121.4593,       -121.4599,       -121.4597,       -121.4609,       -121.4598,       -121.4603
          66,        1.083333,       -121.4596,       -121.4590,       -121.4598,       -121.4595,       -121.4598,       -121.4602,       -121.4609,       -121.4595
          67,        1.100000,       -121.4601,       -121.4602,       -121.4593,       -121.4600,       -121.4602,       -121.4597,       -121.4607,       -121.4598
          68,        1.116667,       -121.4594,       -121.4595,       -121.4599,       -121.4601,       -121.4611,       -121.4597,       -121.4604,       -121.4600
          69,        1.133333,       -121.4590,       -121.4608,       -121.4601,       -121.4601,       -121.4608,       -121.4604,       -121.4592,       -121.4603
          70,        1.150000,       -121.4602,       -121.4598,       -121.4597,       -121.4599,       -121.4605,       -121.4600,       -121.4596,       -121.4599
          71,        1.166667,       -121.4602,       -121.4593,       -121.4601,       -121.4596,       -121.4598,       -121.4602,       -121.4610,       -121.4600
          72,        1.183333,       -121.4592,       -121.4592,       -121.4596,       -121.4599,       -121.4599,       -121.4594,       -121.4598,       -121.4599
          73,        1.200000,       -121.4604,       -121.4594,       -121.4605,       -121.4594,       -121.4605,       -121.4604,       -121.4611,       -121.4606
          74,        1.216667,       -121.4600,       -121.4598,       -121.4598,       -121.4601,       -121.4599,       -121.4595,       -121.4605,       -121.4604
          75,        1.233333,       -121.4601,       -121.4606,       -121.4604,       -121.4599,       -121.4603,       -121.4597,       -121.4593,       -121.4601
          76,        1.250000,       -121.4606,       -121.4597,       -121.4605,       -121.4607,       -121.4607,       -121.4603,       -121.4594,       -121.4605
          77,        1.266667,       -121.4602,       -121.4604,       -121.4605,       -121.4598,       -121.4593,       -121.4598,       -121.4592,       -121.4599
          78,        1.283333,       -121.4599,       -121.4596,       -121.4601,       -121.4605,       -121.4600,       -121.4598,       -121.4606,       -121.4602
          79,        1.300000,       -121.4603,       -121.4604,       -121.4595,       -121.4598,       -121.4606,       -121.4598,       -121.4600,       -121.4600
          80,        1.316667,       -121.4594,       -121.4597,       -121.4604,       -121.4589,       -121.4596,       -121.4601,       -121.4602,       -121.4608
          81,        1.333333,       -121.4601,       -121.4603,       -121.4598,       -121.4592,       -121.4600,       -121.4594,       -121.4595,       -121.4600
          82,        1.350000,       -121.4598,       -121.4606,       -121.4608,       -121.4597,       -121.4597,       -121.4602,       -121.4611,       -121.4597
          83,        1.366667,       -121.4596,       -121.4593,       -121.4596,       -121.4601,       -121.4591,       -121.4600,       -121.4607,       -121.4608
          84,        1.383333,       -121.4601,       -121.4608,       -121.4602,       -121.4599,       -121.4601,       -121.4601,       -121.4594,       -121.4598
          85,        1.400000,       -121.4599,       -121.4606,       -121.4603,       -121.4597,       -121.4602,       -121.4604,       -121.4605,       -121.4599
          86,        1.416667,       -121.4599,       -121.4601,       -121.4597,       -121.4607,       -121.4596,       -121.4600,       -121.4588,       -121.4600
          87,        1.433333,       -121.4602,       -121.4598,       -121.4594,       -121.4594,       -121.4599,       -121.4602,       -121.4603,       -121.4595
          88,        1.450000,       -121.4595,       -121.4595,       -121.4602,       -121.4605,       -121.4592,       -121.4608,       -121.4593,       -121.4589
          89,        1.466667,       -121.4599,       -121.4606,       -121.4600,       -121.4596,       -121.4599,       -121.4604,       -121.4582,       -121.4599
          90,        1.483333,       -121.4591,       -121.4602,       -121.4602,       -121.4599,       -121.4597,       -121.4603,       -121.4599,       -121.4605
          91,        1.500000,       -121.4591,       -121.4600,       -121.4598,       -121.4594,       -121.4602,       -121.4601,       -121.4618,       -121.4593
          92,        1.516667,       -121.4602,       -121.4597,       -121.4600,       -121.4596,       -121.4592,       -121.4607,       -121.4604,       -121.4594
          93,        1.533333,       -121.4590,       -121.4597,       -121.4597,       -121.4594,       -121.4603,       -121.4595,       -121.4576,       -121.4602
          94,        1.550000,       -121.4590,       -121.4604,       -121.4606,       -121.4608,       -121.4601,       -121.4596,       -121.4611,       -121.4602
          95,        1.566667,       -121.4598,       -121.4599,       -121.4601,       -121.4598,       -121.4600,       -121.4597,       -121.4611,       -121.4601
          96,        1.583333,       -121.4604,       -121.4611,       -121.4596,       -121.4602,       -121.4595,       -121.4598,       -121.4592,       -121.4602
          97,        1.600000,       -121.4598,       -121.4594,       -121.4600,       -121.4600,       -121.4603,       -121.4601,       -121.4598,       -121.4598
          98,        1.616667,       -121.4601,       -121.4599,       -121.4605,       -121.4605,       -121.4600,       -121.4597,       -121.4594,       -121.4604
          99,        1.633333,       -121.4596,       -121.4597,       -121.4603,       -121.4596,       -121.4596,       -121.4600,       -121.4600,       -121.4599
         100,        1.650000,       -121.4601,       -121.4598,       -121.4609,       -121.4596,       -121.4599,       -121.4603,       -121.4589,       -121.4590
         101,        1.666667,       -121.4597,       -121.4591,       -121.4599,       -121.4597,       -121.4604,       -121.4597,       -121.4594,       -121.4595
         102,        1.683333,       -121.4596,       -121.4588,       -121.4599,       -121.4601,       -121.4597,       -121.4598,       -121.4609,       -121.4604
         103,        1.700000,       -121.4598,       -121.4594,       -121.4597,       -121.4597,       -121.4603,       -121.4599,       -121.4604,       -121.4601
         104,        1.716667,       -121.4598,       -121.4606,       -121.4606,       -121.4588,       -121.4598,       -121.4603,       -121.4600,       -121.4596
         105,        1.733333,       -121.4598,       -121.4603,       -121.4602,       -121.4598,       -121.4600,       -121.4602,       -121.4595,       -121.4599
         106,        1.750000,       -121.4599,       -121.4610,       -121.4595,       -121.4594,       -121.4600,       -121.4601,       -121.4612,       -121.4607
         107,        1.766667,       -121.4599,       -121.4595,       -121.4595,       -121.4597,       -121.4597,       -121.4599,       -121.4593,       -121.4596
         108,        1.783333,       -121.4594,       -121.4601,       -121.4595,       -121.4596,       -121.4604,       -121.4594,       -121.4613,       -121.4596
         109,        1.800000,       -121.4596,       -121.4601,       -121.4598,       -121.4597,       -121.4601,       -121.4602,       -121.4605,       -121.4602
         110,        1.816667,       -121.4594,       -121.4595,       -121.4605,       -121.4601,       -121.4600,       -121.4601,       -121.4603,       -121.4603
         111,        1.833333,       -121.4603,       -121.4600,       -121.4604,       -121.4607,       -121.4597,       -121.4597,       -121.4584,       -121.4597
         112,        1.850000,       -121.4600,       -121.4602,       -121.4608,       -121.4604,       -121.4602,       -121.4599,       -121.4621,       -121.4601
         113,        1.866667,       -121.4609,       -121.4611,       -121.4605,       -121.4601,       -121.4594,       -121.4605,       -121.4610,       -121.4598
         114,        1.883333,       -121.4596,       -121.4598,       -121.4601,       -121.4603,       -121.4613,       -121.4595,       -121.4606,       -121.4605
         115,        1.900000,       -121.4599,       -121.4601,       -121.4605,       -121.4600,       -121.4597,       -121.4596,       -121.4591,       -121.4596
         116,        1.916667,       -121.4607,       -121.4592,       -121.4606,       -121.4593,       -121.4605,       -121.4598,       -121.4595,       -121.4598
         117,        1.933333,       -121.4599,       -121.4600,       -121.4602,       -121.4604,       -121.4602,       -121.4601,       -121.4588,       -121.4607
         118,        1.950000,       -121.4596,       -121.4598,       -121.4600,       -121.4597,       -121.4600,       -121.4600,       -121.4600,       -121.4601
         119,        1.966667,       -121.4603,       -121.4598,       -121.4599,       -121.4609,       -121.4600,       -121.4597,       -121.4610,       -121.4599
         120,        1.983333,       -121.4597,       -121.4610,       -121.4590,       -121.4600,       -121.4598,       -121.4601,       -121.4595,       -121.4603
         121,        2.000000,       -121.4599,       -121.4603,       -121.4606,       -121.4595,       -121.4592,       -121.4596,       -121.4598,       -121.4602

